Tên,Giá,Link,Kích thước màn hình,Công nghệ màn hình,Camera sau,Camera trước,Chipset,Công nghệ NFC,Bộ nhớ trong,Thẻ SIM,Hệ điều hành,Độ phân giải màn hình,Tính năng màn hình,Loại CPU,Dung lượng RAM,Pin,Tương thích,Cảm biến
iPhone 16 Pro 256GB | Chính hãng VN/A,27.990.000đ,https://cellphones.com.vn/iphone-16-pro-256gb.html,6.3 inches,Super Retina XDR OLED,"Camera chính: 48MP, f/1.78, 24mm, chống rung quang học dịch chuyển cảm biến thế hệ thứ hai, Focus Pixels 100%, hỗ trợ ảnh có độ phân giải siêu caoHỗ trợ Telephoto 2x 12MP: 52 mm, ƒ/1.6 Camera góc siêu rộng: 48MP, 13 mm, ƒ/2.2 và trường ảnh 120°, H","12MP, ƒ/1.9, Tự động lấy nét theo pha Focus Pixels",Apple A18 Pro,Có,256 GB,Sim kép (nano-Sim và e-Sim) - Hỗ trợ 2 e-Sim,iOS 18,2622 x 1206  pixels,Dynamic IslandMàn hình HDRTrue ToneDải màu rộng (P3)Haptic TouchTỷ lệ tương phản 2.000.000:1Độ sáng tối đa 1000 nit460 ppiLớp phủ kháng dầu chống in dấu vân tayHỗ trợ hiển thị đồng thời nhiều ngôn ngữ và ký tự,CPU 6 lõi mới với 2 lõi hiệu năng và 4 lõi tiết kiệm điện,,,Tương Thích Với Thiết Bị Trợ Thính,
Xiaomi Redmi Note 14 6GB 128GB,4.390.000đ,https://cellphones.com.vn/dien-thoai-xiaomi-redmi-note-14.html,6.67 inches,AMOLED,Hệ thống camera AI 108MP  Camera đo chiều sâu 2MP - f/2.4 Camera cận cảnh 2MP - f/2.4,Camera trước 20MP - f/2.2,MediaTek Helio G99-Ultra,Có,128 GB,2 Nano-SIM,Android 14,1080 x 2400 pixels (FullHD+),Tốc độ làm mới: Lên đến 120Hz Độ sáng: 1800 nits đỉnh Tỷ lệ tương phản: 5.000.000:1,"8 nhân, lên đến 2.2GHz",6 GB,5500mAh,,
iPhone 16 Pro 128GB | Chính hãng VN/A,24.490.000đ,https://cellphones.com.vn/iphone-16-pro.html,6.3 inches,Super Retina XDR OLED,"Camera chính: 48MP, f/1.78, 24mm, chống rung quang học dịch chuyển cảm biến thế hệ thứ hai, Focus Pixels 100%, hỗ trợ ảnh có độ phân giải siêu caoHỗ trợ Telephoto 2x 12MP: 52 mm, ƒ/1.6 Camera góc siêu rộng: 48MP, 13 mm, ƒ/2.2 và trường ảnh 120°, H","12MP, ƒ/1.9, Tự động lấy nét theo pha Focus Pixels",Apple A18 Pro,Có,128 GB,Sim kép (nano-Sim và e-Sim) - Hỗ trợ 2 e-Sim,iOS 18,2622 x 1206  pixels,Dynamic IslandMàn hình HDRTrue ToneDải màu rộng (P3)Haptic TouchTỷ lệ tương phản 2.000.000:1Độ sáng tối đa 1000 nit460 ppiLớp phủ kháng dầu chống in dấu vân tayHỗ trợ hiển thị đồng thời nhiều ngôn ngữ và ký tự,CPU 6 lõi mới với 2 lõi hiệu năng và 4 lõi tiết kiệm điện,8 GB,,Tương Thích Với Thiết Bị Trợ Thính,
Xiaomi 14T Pro 12GB 512GB,12.990.000đ,https://cellphones.com.vn/xiaomi-14t-pro.html,6.67 inches,AMOLED,"Máy ảnh chính: 50MP, 23mm, ƒ/1 6  Máy ảnh góc siêu rộng: 12MP, 15mm, ƒ/2 2 Máy ảnh tele: 50MP, 60mm, ƒ/2 0","32MPƒ/2,0 Độ dài tiêu cự tương đương 25 mm  FOV 80,8˚Chế độ ban đêmHDRTính năng chụp ảnh bằng lòng bàn tay",MediaTek Dimensity 9300+,Có,512 GB,Sim kép (nano-Sim và e-Sim) - Hỗ trợ 2 e-Sim,,1220 x 2712 pixels,"144Hz, 446 ppi, 4000 nitsĐộ sâu màu 12 bitLàm mờ PWM lên đến 3840HDR10+, Dolby Vision®Mặt sau cong 3D","1 x Cortex-X4, tối đa 3,4GHz; 3 x Cortex-X4,  lên đến 2,85GHz; 4 x Cortex-A720, lên đến 2.0GHz",12 GB,5000 mAh,,
Điện thoại Nubia Z70S Ultra 5G 12GB 256GB,19.990.000đ,https://cellphones.com.vn/dien-thoai-nubia-z70s-ultra-5g.html,,AMOLED,Camera chính: 50 MP f/1.7Camera tele: 64 MP f/2.48 Camera góc siêu rộng: 50 MP f/2.0,16 MP,Snapdragon 8 Elite (3nm),Có,256 GB,2 Nano-SIM,Nebula AIOS - Android 15,,"Kích thước màn hình: 6.85 inchĐộ phân giải màn hình: 2688 x 1216 pixelsTần số quét: 144 HzĐộ sáng: 2000nits, 430PPI100% DCI-P3Longxi Durable Glass 2.0",,12 GB,6.600 mAh,,
iPhone 15 Pro 128GB | Chính hãng VN/A,23.990.000đ,https://cellphones.com.vn/iphone-15-pro.html,6.1 inches,Super Retina XDR OLED,"Camera chính: 48MP, 24 mm, ƒ/1.78, Camera góc siêu rộng: 12 MP, 13 mm, ƒ/2.2Camera Tele 3x: 12 MP, 77 mm, ƒ/2.8","12MP, ƒ/1.9",Apple A17 Pro 6 nhân,Có,128 GB,2 SIM (nano‑SIM và eSIM),iOS 17,2556 x 1179 pixels,Tốc độ làm mới 120Hz460 ppiHDRTrue ToneDải màu rộng (P3)Haptic TouchTỷ lệ tương phản 2.000.000:1 Độ sáng 2.000 nit,CPU 6 lõi mới với 2 lõi hiệu năng và 4 lõi hiệu suất,8 GB,3274 mAh,,
Xiaomi 15 5G 12GB 256GB,18.490.000đ,https://cellphones.com.vn/dien-thoai-xiaomi-15.html,6.36 inches,CrystalRes AMOLED,"Camera chính Leica: 50MP, ƒ/1.62, OIS, Tiêu cự tương đương 23mmCamera tele Leica: 50MP, ƒ/2.0, OISCamera góc siêu rộng Leica: 50MP, ƒ/2.2, 115°","Camera trước: 32MP, ƒ/2.0, 90°,  Tiêu cự 21mm",Snapdragon 8 Elite (Tiến trình sản xuất 3nm),Có,256 GB,Sim kép (nano-Sim và e-Sim) - Hỗ trợ 2 e-Sim,Xiaomi HyperOS 2,2670 x 1200 pixels,"Độ sáng 3200 nitsTự động tinh chỉnh tần số quét 1-120Hz Tốc độ phản hồi cảm ứng lên đến 300HzHỗ trợ 68 tỷ màuDải màu DCI-P3Hỗ trợ Dolby Vision, HDR10+, HDR10Độ sáng DCCông nghệ cảm ứng ướt","2 x Lõi Prime, tốc độ tối đa 4,32GHz6 x Lõi hiệu suất, lên đến 3,53GHz",12 GB,5240mAh,,
iPhone Air 1TB | Chính hãng,33.990.000đ,https://cellphones.com.vn/iphone-air-1tb.html,6.5 inches,Super Retina XDR,48MP Fusion Main f/1.6,18MP Center Stage f/1.6,Chip A19 Pro,Có,1 TB,2 eSIM,iOS 26,2736 x 1260 pixels,"Dynamic IslandMàn hình luôn bậtHDR460 ppiTrue ToneDải màu rộng (P3)Haptic TouchTỷ lệ tương phản 2.000.000:1Độ sáng 1000 nit (typ)Đỉnh 1600 nit (HDR)Đỉnh 3000 nit (ngoài trời)Lớp phủ chống vân tay, chống phản chi",6 lõi (2 hiệu năng + 4 tiết kiệm điện),,Xem video: 27 giờXem video trực tuyến: 22 giờ,,
iPhone 16 256GB | Chính hãng VN/A,22.390.000đ,https://cellphones.com.vn/iphone-16-256gb.html,6.1 inches,Super Retina XDR OLED,"Camera chính: 48MP, f/1.6, 26mm, Focus Pixels 100%, hỗ trợ ảnh có độ phân giải siêu cao Camera góc siêu rộng: 12MP, ƒ/2.2, 13 mm, Focus Pixels 100%, Độ phóng đại quang học 2x, độ thu nhỏ quang học 2x; phạm vi thu phóng quang học 4x Độ thu phóng kỹ thu","12MP, ƒ/1.9, Tự động lấy nét theo pha Focus Pixels",Apple A18,Có,256 GB,Sim kép (nano-Sim và e-Sim) - Hỗ trợ 2 e-Sim,iOS 18,2556 x 1179 pixels,Dynamic IslandMàn hình HDRTrue ToneDải màu rộng (P3)Haptic TouchTỷ lệ tương phản 2.000.000:1Độ sáng tối đa 1000 nit460 ppiLớp phủ kháng dầu chống in dấu vân tayHỗ trợ hiển thị đồng thời nhiều ngôn ngữ và ký tự,CPU 6 lõi mới với 2 lõi hiệu năng và 4 lõi tiết kiệm điện,,,,
iPhone 14 Pro 128GB | Chính hãng VN/A,22.990.000đ,https://cellphones.com.vn/iphone-14-pro.html,6.1 inches,Super Retina XDR OLED,"Camera chính: 48 MP, f/1.8, 24mm, OIS  Camera góc siêu rộng: 12 MP, f/2.2, 120˚, 1.4µm Camera tele: 12 MP, f/2.8, PDAF, OIS, 3x optical zoom  Cảm biến độ sâu TOF 3D LiDAR","Camera selfie: 12 MP, f/1.9, 23mm, PDAF",Apple A16 Bionic 6 nhân,Có,128 GB,2 SIM (nano‑SIM và eSIM),iOS 16,2556 x 1179 pixels,Công nghệ ProMotion với tần số quét 120HzTỷ lệ tương phản 2.000.000: 1Độ sáng tối đa: 2.000 nits (ngoài trời),6 nhân,6 GB,3200 mAh,,
HONOR X9c 5G 12GB 256GB,7.290.000đ,https://cellphones.com.vn/dien-thoai-honor-x9c-5g.html,6.78 inches,AMOLED,"Camera chính 108MP (F1.75), OIS + Camera góc rộng 5MP (F2.2)",16MP (F2.45),Qualcomm Snapdragon 6 Gen 1,Có,256 GB,2 SIM (Nano-SIM),"MagicOS 8.0, dựa trên Android 14",,"2700*1224 Pixels1,07 tỷ màu1.5 K độ phân giải4000nit100% DCI-P3",4 x A78 *2.2GHz + 4 x A55*1.8GHz,12 GB,"6600mAh, 66W (120V/3.3A)",,
iPhone Air 512GB | Chính hãng,28.990.000đ,https://cellphones.com.vn/iphone-air-512gb.html,6.5 inches,Super Retina XDR,48MP Fusion Main f/1.6,18MP Center Stage f/1.6,Chip A19 Pro,Có,512 GB,2 eSIM,iOS 26,2736 x 1260 pixels,"Dynamic IslandMàn hình luôn bậtHDR460 ppiTrue ToneDải màu rộng (P3)Haptic TouchTỷ lệ tương phản 2.000.000:1Độ sáng 1000 nit (typ)Đỉnh 1600 nit (HDR)Đỉnh 3000 nit (ngoài trời)Lớp phủ chống vân tay, chống phản chi",6 lõi (2 hiệu năng + 4 tiết kiệm điện),,Xem video: 27 giờXem video trực tuyến: 22 giờ,,
iPhone 17e 512GB | Chính hãng,23.690.000đ,https://cellphones.com.vn/iphone-17e-512gb.html,6.1 inches,Super Retina XDR,"48MP, ƒ/1.6Telephoto 2x: 12MP, ƒ/1.6","12MP, ƒ/1.9",Apple A19,Có,512 GB,2 SIM (nano‑SIM và eSIM),iOS 26,2532 x 1170 pixels,HDR460 ppiTrue ToneDải màu rộng (P3)Haptic TouchTỷ lệ tương phản 2.000.000:1Độ sáng 800 nit (tiêu chuẩn)Độ sáng đỉnh: 1200 nit (HDR),6 lõi với 2 lõi hiệu năng và 4 lõi tiết kiệm điện,,Xem video: 26 giờXem video trực tuyến: 21 giờ,,
Samsung Galaxy S24 8GB 512GB,17.190.000đ,https://cellphones.com.vn/samsung-galaxy-s24-512gb.html,6.2 inches,Dynamic AMOLED 2X,"Camera chính 50 MP, f/1.8 Camera tele: 10 MP, f/2.4,  PDAF, OIS, zoom quang học 3xCamera góc siêu rộng: 12 MP, f/2.2, 120˚","12 MP, f/2.2",Exynos 2400,Có,512 GB,SIM 1 + SIM 2 / SIM 1 + eSIM / 2 eSIM,"Android 14, One UI 6.1",1080 x 2340 pixels (FullHD+),"120Hz, Độ sáng tối đa 2600 nits, Corning® Gorilla® Glass Victus® 2, 16 triệu màu","1 nhân 3.3 GHz, 5 nhân 3.2 GHz & 2 nhân 2.3 GHz",8 GB,4.000 mAh,IP68,
OPPO A3X 6GB 128GB,4.210.000đ,https://cellphones.com.vn/dien-thoai-oppo-a3x-6gb-128gb.html,6.67 inches,LCD,8MP; f/2; FOV 78°,"5MP; f/2.2,",Qualcomm® Snapdragon® 6s 4G Gen1,Không,128 GB,2 Nano-SIM,ColorOS 14.0,720 x 1604 (HD+),"Tỉ lệ màn hình  89.9%, 90Hz",8 nhân,6 GB,5100mAh,,
Xiaomi POCO X7 5G 12GB 512GB,7.990.000đ,https://cellphones.com.vn/dien-thoai-xiaomi-poco-x7-5g.html,6.67 inches,AMOLED,"Camera chính: 50MP, f/1.5Camera góc siêu rộng: 8MP, f/2.2Camera macro: 2MP, f/2.4","20MP, f/2.2",Powerful Dimensity 7300-Ultra,Có,512 GB,2 Nano-SIM,Xiaomi HyperOS,2712 x 1220 pixels,"Tần số quét: 120Hz, 500 nits, Độ sâu màu: 12bit, Tỷ lệ tương phản: 5.000.000:1, DCI-P3, Kính Corning® Gorilla® Victus® 2, Dolby Vision, HDR10+","Octa-core CPU, up to 2.5GHz",12 GB,5110mAh,,
OPPO Reno14 5G 12GB 256GB,15.500.000đ,https://cellphones.com.vn/dien-thoai-oppo-reno14.html,6.59 inches,AMOLED,"Chính 50MP OIS, F/1.8Tele 50MP OIS, F/2.8Góc rộng 8MP, F/2.2","50MP, F/2.0","MediaTek Dimensity 8350 5G, tối đa 3.35GHz",Có,256 GB,2 Nano-SIM,"ColorOS 15, Android 15",1256 x 2760 pixels,"Tần số quét 120Hz, độ sáng 1200 nits, kính GG7i","8 nhân, 3.35GHz",12 GB,6000mAh,,
Nubia Neo 3 5G 8GB 256GB,5.090.000đ,https://cellphones.com.vn/dien-thoai-nubia-neo-3-5g.html,6.8 inches,IPS LCD,"50M+2M, ƒ/1.8","16MP, ƒ/2.0",Unisoc T8300,Có,256 GB,Nano-SIM,Android 15,,Độ phân giải: 900 x 2030 pixel (FHD)Tần số: 120HzĐộ sáng: 1000 nits,Octa-Core (2*Cortex-A78 @ 2.2GHz + 6*Cortex-A55 @2.0GHz),8 GB,6000mAh,,
OPPO A58 8GB 128GB,4.500.000đ,https://cellphones.com.vn/oppo-a58-8gb-128gb.html,6.72 inches,,Cảm biến chính 50MP  Cảm biến độ sâu 2MP,8MP,MediaTek Helio G85 8 nhân,Không,128 GB,2 SIM (Nano-SIM),Android 13,1080 x 2412 pixels,"Tần số quét 60 Hz680 nits, Kính cường lực Panda",2.0 GHz,8 GB,"5,000mAh",,
Xiaomi Redmi Note 13 Pro 4G 8GB 128GB,4.690.000đ,https://cellphones.com.vn/xiaomi-redmi-note-13-pro.html,6.67 inches,AMOLED,"Chính 200 MP & Phụ 8 MP, 2 MP",16 MP,MediaTek Helio G99-Ultra 8 nhân,Có,128 GB,2 SIM (Nano-SIM),Android 13,1080 x 2400 pixels (FullHD+),Tần số quét 120Hz1300 nitsKính cường lực Corning Gorilla Glass 5,2.2 GHz,8 GB,5000 mAh,,
Xiaomi Redmi Note 13 Pro 5G 8GB 256GB,6.290.000đ,https://cellphones.com.vn/dien-thoai-xiaomi-redmi-note-13-pro-5g-8gb-256gb.html,6.67 inches,AMOLED,"Chính 200 MP & Phụ 8 MP, 2 MP",16 MP,Snapdragon 7s Gen 2 8 nhân,Có,256 GB,Dual nano-SIM hoặc 1 nano-SIM + 1 eSIM,Android 13,1220 x 2712 pixels,"Tần số quét 120Hz, 1800 nitsKính cường lực Corning Gorilla Glass Victus",4 nhân 2.4 GHz & 4 nhân 1.95 GHz,8 GB,5100 mAh,,
Samsung Galaxy S23 Ultra 256GB,19.490.000đ,https://cellphones.com.vn/samsung-galaxy-s23-ultra.html,6.8 inches,Dynamic AMOLED 2X,"Siêu rộng: 12MP, F2.2 (Dual Pixel AF)Chính: 200MP, F1.7 OIS ±3° (Super Quad Pixel AF)Tele 1: 10MP, F4.9 (10X, Dual Pixel AF) OIS,Tele 2: 10MP, F2.4 (3X, Dual Pixel AF) OIS Thu phóng chuẩn không gian 100X","12MP, F2.2 (Dual Pixel AF)",Snapdragon 8 Gen 2 (4 nm),Có,256 GB,2 Nano SIM hoặc 1 Nano + 1 eSIM,Android 13,1440 x 3088 pixels (QHD+),"120Hz, HDR10+, 1750 nits, Gorilla Glass Victus 2",1x3.36 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510,8 GB,5.000mAh,Bút S-Pen,
OPPO A3 6GB 128GB,4.500.000đ,https://cellphones.com.vn/dien-thoai-oppo-a3.html,6.67 inches,LCD,"50MP, Khẩu độ F/1.8","5 MP, Khẩu độ F/2.2","Snapdragon 6s 4G Gen1, tối đa 2.1GHz",Không,128 GB,2 SIM (Nano-SIM),"ColorOS 14, nền tảng Android 14",720 x 1604 (HD+),"16 triệu màu, 90Hz, Kính cường lực Panda, độ sáng 1000 nit",,6 GB,5100mAh,,
realme GT Neo 3,Giá Liên Hệ,https://cellphones.com.vn/realme-gt-neo-3.html,6.7 inches,AMOLED,"Camera góc rộng: 50 MP, f/1.9, 24mm, 1/1.56"", 1.0µm, PDAF, OISCamera góc siêu rộng:8 MP, f/2.3, 15mm, 120˚, 1/4.0"", 1.12µmCamera macro: 2 MP, f/2.4","Camera góc rộng: 16 MP, f/2.5, 26mm, 1/3.09"", 1.0µm",Mediatek Dimensity 8100 (5 nm),Có,128 GB,2 SIM (Nano-SIM),Android 12,1080 x 2412 pixels,"1 tỷ màu, tần số quét 120Hz, HDR10+ Kính cường lực Corning Gorilla Glass 5",4x2.85 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55,6 GB,5000 mAh,,
iPhone 13 Pro Max 128GB | Chính hãng VN/A,22.990.000đ,https://cellphones.com.vn/iphone-13-pro-max.html,6.7 inches,Super Retina XDR OLED,"Camera góc rộng: 12MP, ƒ/1.5  Camera góc siêu rộng: 12MP, ƒ/1.8  Camera tele : 12MP, /2.8","12MP, ƒ/2.2",Apple A15 Bionic 6 nhân,Có,128 GB,2 SIM (nano‑SIM và eSIM),iOS15,2778 x 1284 pixel,"Tần số quét 120 Hz, 1200 nits, Super Retina XDR với ProMotion 6.1‑inch,  OLED, 458 pp, HDR display, True Tone, Wide color (P3), Haptic Touch",3.22 GHz,6 GB,4352mAh,,
OPPO Find N5 16GB 512GB,44.180.000đ,https://cellphones.com.vn/dien-thoai-oppo-find-n5.html,8.12 inches,AMOLED,"50MP, ƒ/1.8 OIS (Chính) + 8MP, ƒ/2.2 (Góc rộng) + 50MP, ƒ/2.7 (Tele)","Màn hình chính: 8MP, ƒ/2.4Màn hình ngoài: 8MP, ƒ/2.4",Qualcomm Snapdragon® 8 Elite,Có,512 GB,Dual nano-SIM hoặc 1 nano-SIM + 1 eSIM,"ColorOS 15, nền tảng Android 15",2.480 x 2.248 pixels,"Tần số: 120HzMàn hình chính: Kính Pet+UTG, 1400nitMàn hình ngoài: 6.62 inch, 1140 x 2616 (FHD+), kính siêu mỏng Nanocrytal, 1600nit1 tỷ màu sắc",,16 GB,5600mAh,,
Nubia Neo 2 5G,4.290.000đ,https://cellphones.com.vn/nubia-neo-2.html,6.72 inches,IPS LCD,"Camera góc rộng: 50 MP, f/1.8, PDAFCamera đo độ sâu: 2 MP, f/2.4",16MP,Unisoc T820 (6 nm),Có,256 GB,2 SIM (Nano-SIM),Android 13,1080 x 2400 pixels (FullHD+),"Corning Gorilla Glass, 400 ppiTần số quét 120Hz",1x2.7 GHz Cortex-A76 & 3x2.3 GHz Cortex-A76 & 4x2.1 GHz Cortex-A55,8 GB,6000mAh,,
Samsung Galaxy A06 4GB 128GB,2.590.000đ,https://cellphones.com.vn/dien-thoai-samsung-galaxy-a06.html,6.7 inches,PLS LCD,"50.0 MP, f/1.8 2.0 MP, f/2.4","8.0 MP, f/2.0",MediaTek Helio G85,,128 GB,2 SIM (Nano-SIM),Android,720 x 1600 pixel,16 triệu màu,"8 nhân 2GHz, 1.8GHz",4 GB,5000 mAh,,
Samsung Galaxy A16 5G 8GB 128GB,4.990.000đ,https://cellphones.com.vn/dien-thoai-samsung-galaxy-a16.html,6.7 inches,Super AMOLED,"Camera góc rộng: 50MP, f/1.8 AFCamera góc siêu rộng: 5MP, f/2.2 Camera Macro: 2MP, f/2.4","13MP, f/2.0",MediaTek Dimensity 6300(6nm),Có,128 GB,2 Nano-SIM,,1080 x 2340 pixels (FullHD+),"Tần số quét 90Hz, Infinity-U Độ sáng tối đa 800nits",,8 GB,"5,000mAh",,
Samsung Galaxy Note 10+ (Plus),26.990.000đ,https://cellphones.com.vn/samsung-galaxy-note-10-plus.html,6.8 inches,Dynamic AMOLED QHD+ Infinity-O,- Góc siêu rộng: 16MP (F2.2)- Góc rộng: 12MP OIS (F.15/F2.4)- Tele: 12MP OIS (F2.1)- Ống kính cảm biến chiều sâu TOF,10 MP (F2.2),Samsung Exynos 9825,Có,256 GB,2 SIM (Nano-SIM),Android 9.0 (Pie),3040 x 1440 pixels,,"2 nhân 2.7 GHz, 2 nhân 2.3 GHz và 4 nhân 1.9 GHz",12 GB,"4300 mAh, Quick Charge 45W",,"Mở khóa bằng khuôn mặt, Mở khoá vân tay dưới màn hình"
Xiaomi Redmi Note 13 6GB 128GB,3.790.000đ,https://cellphones.com.vn/xiaomi-redmi-note-13.html,6.67 inches,AMOLED,"Chính 108 MP & Phụ 8 MP, 2 MP",16MP,Snapdragon 685,Không,128 GB,2 SIM (Nano-SIM),Android 13,1080 x 2400 pixels (FullHD+),Tần số quét 120Hz,"CPU lõi tám, tốc độ lên tới 2,8 GHz",6 GB,5000 mAh,,
Redmi Note 13 Pro 5G 12GB 512GB,6.990.000đ,https://cellphones.com.vn/dien-thoai-redmi-note-13-pro-5g.html,6.67 inches,AMOLED,"Chính 200 MP & Phụ 8 MP, 2 MP",16 MP,Snapdragon 7s Gen 2 8 nhân,Có,512 GB,2 SIM (Nano-SIM),Android 13,1220 x 2712 pixels,Tần số quét 120 Hz1800 nitsKính cường lực Corning Gorilla Glass Victus,4 nhân 2.4 GHz & 4 nhân 1.95 GHz,12 GB,5100 mAh,,
OPPO Reno14 F 5G 8GB 256GB,10.100.000đ,https://cellphones.com.vn/dien-thoai-oppo-reno14-f.html,6.57 inches,AMOLED,"Chính 50MP OIS, F/1.8Góc rộng 8MP, F/2.2Marco 2MP, F/2.4","32MP, F/2.0","Qualcomm Snapdragon 6 Gen 1 5G, tối đa 2.2GHz",Có,256 GB,2 Nano-SIM,"ColorOS 15, Android 15",1080 x 2372 pixels (FullHD+),"Tần số quét 120Hz, độ sáng 1400 nits, mặt kính AGC DT-Star D+","8 nhân, tối đa 2.2GHz",8 GB,6000mAh,Hỗ trợ thẻ nhớ MicroSD tối đa 2TB,
Samsung Galaxy S24 Ultra 12GB 512GB,23.990.000đ,https://cellphones.com.vn/samsung-galaxy-s24-ultra-512gb.html,6.8 inches,Dynamic AMOLED 2X,"Camera chính: 200MP, Laser AF, OIS Camera: 50MP,  PDAF, OIS, zoom quang học 5xCamera tele: 10MPCamera góc siêu rộng: 12 MP, f/2.2, 13mm, 120˚","12 MP, f/2.2",Snapdragon 8 Gen 3,Có,512 GB,SIM 1 + SIM 2 / SIM 1 + eSIM / 2 eSIM,"Android 14, One UI 6.1",1440 x 3120 pixels,"Độ sáng cao nhất 2,600 nits, 120Hz, HDR10+",,12 GB,5000mAh,,
iPhone 11 128GB | Chính hãng VN/A,8.490.000đ,https://cellphones.com.vn/iphone-11-128gb.html,6.1 inches,IPS LCD,Camera kép 12MP:- Camera góc rộng: ƒ/1.8 aperture- Camera siêu rộng: ƒ/2.4 aperture,"12 MP, ƒ/2.2 aperture",A13 Bionic,Có,128 GB,Nano-SIM + eSIM,iOS 13 hoặc cao hơn (Tùy vào phiên bản phát hành),1792 x 828 pixel,True-tone,Hexa-core,4 GB,3110 mAh,,"FaceID, Con quay hồi chuyển, Gia tốc kế, Cảm biến tiệm cận, Cảm biến ánh sáng xung quanh"
Xiaomi POCO X6 Pro 5G 8GB 256GB,7.540.000đ,https://cellphones.com.vn/dien-thoai-xiaomi-poco-x6-pro.html,6.67 inches,AMOLED,"Camera góc siêu rộng: 64 MP, f/1.7Camera góc siêu rộng: 8 MP, 120° FOV, f/2.2Camera macro: 2 MP, f/2.4",Camera góc siêu rộng: 16 MP,Dimensity 8300-Ultra,Có,256 GB,2 SIM (Nano-SIM),Android 14,1220 x 2712 pixels,"68 tỷ màu, tần số 120Hz, Dolby Vision, HDR10+, 1800 nits, 5,000,000:1, DCI-P3Corning Gorilla Glass 5","lõi tám, lên tới 3,35GHz",8 GB,5000 mAh,,
Samsung Galaxy S20,21.490.000đ,https://cellphones.com.vn/samsung-galaxy-s20.html,6.2 inches,"Dynamic AMOLED 2X, 120Hz(1080p), HDR, Gorilla Glass 6","Camera chính: 12 MP, f/1.8, 26mm (wide), Dual Pixel PDAF, OISCamera tele: 64 MP, f/2.0, (telephoto), PDAF, OIS, 3x hybrid optical zoomCamera góc siêu rộng: 12 MP, f/2.2, 13mm (ultrawide), AF, Super Steady video","10 MP, f/2.2, 26mm (wide), 1/3.2"", 1.22µm, Dual Pixel PDAF",Exynos 990 (7 nm+),,128 GB,2 SIM (Nano-SIM),Android 10.0; One UI 2,3200 x 1440 pixel,,Octa-core (2x2.73 GHz Mongoose M5 & 2x2.60 GHz Cortex-A76 & 4x2.0 GHz Cortex-A55),8 GB,"Li-Po 4000 mAh, Sạc nhanh 25W, Sạc không dây 15W",,"Cảm biến vân tay siêu âm trong màn hình, cảm biến tiệm cận, cảm biến gia tốc, con quay hồi chuyển, la bàn"
OPPO Reno10 5G 8GB 256GB,8.490.000đ,https://cellphones.com.vn/oppo-reno10.html,6.7 inches,AMOLED,"Camera góc rộng: 64MP; f/1.7, PDAF Chụp Telephoto chân dung: 32 MP, f/2.0 Camera góc siêu rộng: 8 MP, f/2.2, Zoom quang lai 2X× và Xoom kỹ thuật số 20X","Camera góc rộng: 32 MP, f/2.4",MediaTek Dimensity 7050 5G 8 nhân,Có,256 GB,2 SIM (Nano-SIM),Android 13,1080 x 2412 pixels,"1.07 tỷ màu, tần số quét 120Hz, HDR10+, tỷ lệ hiển thị 93%, 950 nits , viền cong 3D",8 cores,8 GB,5000 mAh,,
iPhone 12 128GB | Chính hãng VN/A,9.990.000đ,https://cellphones.com.vn/iphone-12-128gb.html,6.1 inches,OLED,"12 MP, f/1.6, 26mm (wide), 1.4µm, dual pixel PDAF, OIS 12 MP, f/2.4, 120˚, 13mm (ultrawide), 1/3.6""","12 MP, f/2.2, 23mm (wide), 1/3.6"" SL 3D, (depth/biometrics sensor)",Apple A14 Bionic (5 nm),Có,128 GB,2 SIM (nano‑SIM và eSIM),iOS 14.1 hoặc cao hơn (Tùy vào phiên bản phát hành),1170 x 2532 pixels,HDR10Dolby VisionTrue-tone,Hexa-core,4 GB,"Li-Ion, sạc nhanh 20W, sạc không dây 15W, USB Power Delivery 2.0",,"Face ID, cảm biến gia tốc, cảm biến tiệm cận, con quay hồi chuyển, cảm biên sáng"
Xiaomi 14T 12GB 512GB,11.290.000đ,https://cellphones.com.vn/xiaomi-14t.html,6.67 inches,AMOLED,"Camera chính: 50MP, 23mm, ƒ/1 7 Cảm biến hình ảnh IMX906 của Sony 2 0 m Super Pixel Máy ảnh tele: 50MP, 50mm, ƒ/1 9Máy ảnh góc siêu rộng: 12MP, 15mm, ƒ/2 2","32MPƒ/2,0FOV 80,8˚Chế độ ban đêmHDRTính năng chụp ảnh bằng lòng bàn tay",MediaTek Dimensity 8300-Ultra,Có,512 GB,Sim kép (nano-Sim và e-Sim) - Hỗ trợ 2 e-Sim,,1220 x 2712 pixels,"144Hz, 1,5K CrystalRes AMOLED,  446 ppi, 4000 nits, Độ sâu màu 12 bit, Làm mờ PWM lên đến 3840HDR10+, Dolby Vision","1x Cortex-A715, Lên đến 3,35GHz; 3x  Cortex-A715, Lên đến 3,2GHz; 4x Cortex-A510  lên đến 2,2GHz",12 GB,5000 mAh,,
